"","x","y","t","date_time"
"788",663177.95764188,5866297.78989807,1368461379,2013-05-13 12:09:39
"789",663009.951191888,5866828.56998511,1368463012,2013-05-13 12:36:52
"790",662991.314898405,5866818.46525685,1368464171,2013-05-13 12:56:11
"791",662967.29462828,5866800.72450682,1368465796,2013-05-13 13:23:16
"792",662987.686446375,5866789.83959262,1368467652.5,2013-05-13 13:54:12
"793",662978.099066795,5866800.47159182,1368468810.5,2013-05-13 14:13:30
"794",663178.914698715,5866296.3525732,1368473130,2013-05-13 15:25:30
"795",663177.983775886,5866296.66507202,1368474538,2013-05-13 15:48:58
"796",663062.923218615,5866370.01305606,1368476490,2013-05-13 16:21:30
"797",663846.412072897,5867315.38747999,1368478174.5,2013-05-13 16:49:34
"798",663831.952646849,5867327.18354631,1368479497,2013-05-13 17:11:37
"799",663834.756910061,5867324.35311085,1368480890,2013-05-13 17:34:50
"800",663848.362889309,5867323.66679676,1368482380,2013-05-13 17:59:40
"801",663849.031685433,5867322.34622307,1368483321,2013-05-13 18:15:21
"802",663854.702581751,5867299.59141925,1368485705,2013-05-13 18:55:05
"803",663853.541393056,5867309.61715613,1368486648,2013-05-13 19:10:48
"804",663856.640970902,5867329.12709992,1368488072,2013-05-13 19:34:32
"805",663857.001770524,5867327.76650254,1368489737,2013-05-13 20:02:17
"806",663850.853147368,5867327.41710714,1368491400,2013-05-13 20:30:00
"807",663854.862779495,5867329.03643567,1368492920,2013-05-13 20:55:20
"808",663857.387467996,5867330.7294463,1368494329,2013-05-13 21:18:49
"809",663857.400484692,5867308.70171384,1368495272,2013-05-13 21:34:32
"810",663860.842063883,5867266.60913864,1368497187,2013-05-13 22:06:27
"811",663853.262876386,5867258.5911839,1368498371,2013-05-13 22:26:11
"812",663944.098676051,5867236.74771146,1368500489,2013-05-13 23:01:29
"813",663939.087571506,5867230.50991324,1368501696,2013-05-13 23:21:36
"814",663841.856323355,5867291.35002361,1368503850,2013-05-13 23:57:30
"815",662952.023748409,5866838.48739828,1368507838,2013-05-14 01:03:58
"816",662943.753935371,5866826.83836055,1368508998,2013-05-14 01:23:18
