,date_time,latitude,longitude,altitude,pressure,temperature,satellites_used,gps_fixtime,positiondop,h_accuracy,v_accuracy,x_speed,y_speed,z_speed,speed_accuracy,location,userflag,speed_3d,speed_2d,direction,altitude_agl,year
660,6/1/2013 9:27,52.9273218,5.4401742,-4,\N,22.4,\N,9.4,2.9,15.6,19.9,-0.97,-0.4,-0.39,0.9,0101000020E6100000FF2B8606BDC2154016EF117BB2764A40,0,1.119374826,0.643186069,-28.43253956,-2,2013
1745,6/18/2013 11:11,52.9273016,5.4401745,-9,\N,40.4,8,31.1,1.8,5.9,7,-0.02,0.03,-0.04,0.62,0101000020E6100000F321A81ABDC21540A5C39ED1B1764A40,0,0.053851648,0.033450638,108.2884826,-7,2013
1819,6/19/2013 13:48,52.9259704,5.4401763,-31,\N,41.6,4,19.6,8.6,28.8,51.7,-4.2,-1.07,-2.29,2.74,0101000020E6100000ABE57393BDC215403288B43286764A40,0,4.901938392,2.142778873,-18.13608789,-29,2013
493,5/29/2013 16:31,52.9286615,5.4401768,-8,\N,25.5,\N,22.8,7.7,10.6,16.6,-0.33,-0.44,-1.67,1.12,0101000020E6100000ECD401B5BDC21540F3C64961DE764A40,0,1.758237754,0.819369166,-150.2381187,-6,2013
413,5/28/2013 14:06,52.92683,5.4401774,-6,\N,42.7,\N,39.2,1.5,8.8,8.3,0,0.26,-0.64,0.57,0101000020E6100000D4C045DDBDC21540D1798D5DA2764A40,0,0.690796642,0.481048208,147.4488804,-4,2013
1036,6/7/2013 7:26,52.9273396,5.4401775,-6,\N,34.5,6,8.5,2.1,19.5,15.4,-0.18,0.2,-1.48,1.09,0101000020E61000007BBDFBE3BDC2154093246310B3764A40,0,1.504260616,0.794321981,164.2085372,-4,2013
1206,6/10/2013 1:34,52.9308767,5.440182,-10,\N,24.1,8,8.4,1.8,6.1,10.3,-0.55,-0.1,-0.45,0.46,0101000020E6100000C826F911BFC21540E08DBBF726774A40,0,0.717635005,0.179558688,-15.30837191,-8,2013
912,6/5/2013 7:57,52.9274043,5.4401832,-8,\N,35.3,5,11.7,2.5,19.8,17.4,-1.15,-1.26,-0.31,1.05,0101000020E610000098FE8062BFC21540BB55212FB5764A40,0,1.73383967,1.409663418,-54.33711931,-6,2013
915,6/5/2013 8:42,52.9274105,5.4401883,-4,\N,35.1,8,9,1.6,13.3,9,-0.72,0.35,-0.29,0.47,0101000020E6100000CD53C2B8C0C21540C7BB2363B5764A40,0,0.851469318,0.557637432,48.35112642,-2,2013
543,5/30/2013 11:21,52.9274526,5.4401884,-9,\N,28.8,\N,8.6,4.7,16.3,25.7,-1.69,-1.14,-1.98,1.36,0101000020E6100000745078BFC0C215408BCB4CC4B6764A40,0,2.84184799,1.002565687,-76.44557522,-7,2013
856,6/4/2013 11:56,52.9269863,5.4401896,-9,\N,38.6,5,11.7,3,21.1,22.4,-2.34,-0.17,0.32,1.14,0101000020E610000044280010C1C21540872BB17CA7764A40,0,2.367889356,2.065037455,1.459945157,-7,2013
1088,6/8/2013 3:34,52.9277135,5.44019,-4,\N,20.8,7,8.7,1.7,8.7,9.2,-0.71,-0.6,-0.27,0.68,0101000020E6100000DF1AD82AC1C215406347E350BF764A40,0,0.967987603,0.693039365,-49.88255766,-1,2013
259,5/26/2013 9:22,52.9287677,5.4401923,0,\N,29.5,\N,8.8,2,11.6,18.1,-0.55,-0.32,-0.28,0.82,0101000020E6100000D8CD31C5C1C21540638A28DCE1764A40,0,0.695197814,0.39548111,-42.34922806,2,2013
86,5/22/2013 15:18,52.9275432,5.4401924,-1,\N,23.5,\N,40.9,1.7,5,5.3,-0.11,-0.11,-0.07,0.35,0101000020E61000007FCAE7CBC1C2154048D04EBCB9764A40,0,0.170587221,0.112594891,-61.63410426,2,2013
988,6/6/2013 10:31,52.9271016,5.4401947,-4,\N,42.1,6,9.2,2.7,10,13.7,-0.63,-0.38,-0.67,0.65,0101000020E6100000797D4166C2C21540DE08E643AB764A40,0,0.995087936,0.342295148,-68.53781198,-2,2013
485,5/29/2013 14:29,52.9285669,5.4401962,-6,\N,33.2,\N,38,1.9,8.4,7.6,-0.06,-0.05,-0.08,0.4,0101000020E61000003D4BEBCAC2C21540F5D2B947DB764A40,0,0.111803399,0.044203442,-85.82926647,-4,2013
1097,6/8/2013 6:37,52.927483,5.4401974,-10,\N,28.5,6,21.9,8.6,19.9,11.5,-0.21,0.03,-0.06,1.13,0101000020E61000000D23731BC3C21540494C50C3B7764A40,0,0.220454077,0.137672524,21.19487642,-8,2013
294,5/26/2013 18:26,52.9285802,5.4401977,-9,\N,24.5,\N,8.5,2.1,10,9.1,-0.86,-0.79,-0.62,0.57,0101000020E61000000119952FC3C21540485B4BB7DB764A40,0,1.322157328,0.795697922,-62.36232424,-7,2013
1209,6/10/2013 3:04,52.9277129,5.4401996,-8,\N,26.2,7,9,1.8,9.6,15.1,-0.9,-0.23,-0.55,0.64,0101000020E610000060D916AFC3C21540E6C9DA4BBF764A40,0,1.079536938,0.425666455,-19.72112573,-5,2013
