,ID,longitude,latitude,date_time,b,t
191,1008-2013,5.4332168,52.9215559,5/30/2013 11:16,4,5/30/2013 11:16:00
192,1008-2013,5.43301,52.9215018,5/30/2013 11:32,4,5/30/2013 11:32:00
193,1008-2013,5.4331653,52.9213066,5/30/2013 11:48,4,5/30/2013 11:48:00
194,1008-2013,5.4329886,52.9212024,5/30/2013 12:03,4,5/30/2013 12:03:00
195,1008-2013,5.4329125,52.9212083,5/30/2013 12:18,4,5/30/2013 12:18:00
196,1008-2013,5.4328239,52.9212305,5/30/2013 12:47,4,5/30/2013 12:47:00
197,1008-2013,5.4324644,52.9209611,5/30/2013 13:02,4,5/30/2013 13:02:00
198,1008-2013,5.4330798,52.9211771,5/30/2013 13:18,4,5/30/2013 13:18:00
199,1008-2013,5.4318181,52.9212911,5/30/2013 13:33,4,5/30/2013 13:33:00
200,1008-2013,5.4329285,52.921493,5/30/2013 13:48,4,5/30/2013 13:48:00
201,1008-2013,5.4328271,52.9211811,5/30/2013 14:03,4,5/30/2013 14:03:00
202,1008-2013,5.4336453,52.9218474,5/30/2013 14:26,4,5/30/2013 14:26:00
203,1008-2013,5.4328428,52.920258,5/30/2013 14:41,4,5/30/2013 14:41:00
204,1008-2013,5.4328195,52.9210755,5/30/2013 14:56,4,5/30/2013 14:56:00
205,1008-2013,5.4337834,52.9210767,5/30/2013 15:11,4,5/30/2013 15:11:00
206,1008-2013,5.4327415,52.9209878,5/30/2013 15:26,4,5/30/2013 15:26:00
207,1008-2013,5.4328543,52.9210422,5/30/2013 15:41,4,5/30/2013 15:41:00
208,1008-2013,5.4329116,52.9212075,5/30/2013 16:11,4,5/30/2013 16:11:00
209,1008-2013,5.4335523,52.9212724,5/30/2013 16:37,4,5/30/2013 16:37:00
210,1008-2013,5.4326934,52.9215129,5/30/2013 16:52,4,5/30/2013 16:52:00
211,1008-2013,5.4324332,52.9214807,5/30/2013 17:09,4,5/30/2013 17:09:00
212,1008-2013,5.4327303,52.9213871,5/30/2013 17:25,4,5/30/2013 17:25:00
213,1008-2013,5.4326785,52.9213941,5/30/2013 17:42,4,5/30/2013 17:42:00
214,1008-2013,5.4330224,52.9208427,5/30/2013 17:56,4,5/30/2013 17:56:00
215,1008-2013,5.433034,52.9208353,5/30/2013 18:11,4,5/30/2013 18:11:00
216,1008-2013,5.433053,52.9211538,5/30/2013 18:26,4,5/30/2013 18:26:00
217,1008-2013,5.4329504,52.9212113,5/30/2013 18:41,4,5/30/2013 18:41:00
218,1008-2013,5.4348131,52.9215913,5/30/2013 18:56,4,5/30/2013 18:56:00
219,1008-2013,5.4335996,52.9214562,5/30/2013 19:24,4,5/30/2013 19:24:00
220,1008-2013,5.4335008,52.9215765,5/30/2013 19:39,4,5/30/2013 19:39:00
221,1008-2013,5.4337273,52.9214046,5/30/2013 20:10,4,5/30/2013 20:10:00
222,1008-2013,5.4337305,52.921411,5/30/2013 20:40,4,5/30/2013 20:40:00
223,1008-2013,5.4337173,52.9214033,5/30/2013 21:10,4,5/30/2013 21:10:00
224,1008-2013,5.4337355,52.9213999,5/30/2013 21:40,4,5/30/2013 21:40:00
225,1008-2013,5.4337591,52.9214078,5/30/2013 22:10,4,5/30/2013 22:10:00
226,1008-2013,5.4337248,52.9213928,5/30/2013 22:40,4,5/30/2013 22:40:00
227,1008-2013,5.4337139,52.9214245,5/31/2013 0:10,4,5/31/2013 00:10:00
228,1008-2013,5.433724,52.9214353,5/31/2013 0:40,4,5/31/2013 00:40:00
229,1008-2013,5.4336875,52.9213855,5/31/2013 1:11,4,5/31/2013 01:11:00
230,1008-2013,5.4337243,52.9213949,5/31/2013 1:41,4,5/31/2013 01:41:00
231,1008-2013,5.4337116,52.9213963,5/31/2013 2:11,4,5/31/2013 02:11:00
232,1008-2013,5.4340137,52.9206563,5/31/2013 3:12,4,5/31/2013 03:12:00
233,1008-2013,5.4340127,52.9214547,5/31/2013 3:42,4,5/31/2013 03:42:00
234,1008-2013,5.4338619,52.92128,5/31/2013 4:12,4,5/31/2013 04:12:00
235,1008-2013,5.4338439,52.9214486,5/31/2013 4:42,4,5/31/2013 04:42:00
236,1008-2013,5.4336059,52.9215025,5/31/2013 5:14,4,5/31/2013 05:14:00
237,1008-2013,5.4332652,52.9214062,5/31/2013 5:44,4,5/31/2013 05:44:00
238,1008-2013,5.4335996,52.9214179,5/31/2013 6:14,4,5/31/2013 06:14:00
239,1008-2013,5.4330767,52.9212418,5/31/2013 7:14,4,5/31/2013 07:14:00
240,1008-2013,5.4339887,52.9218806,5/31/2013 7:44,4,5/31/2013 07:44:00
241,1008-2013,5.4317848,52.9216823,5/31/2013 8:16,4,5/31/2013 08:16:00
242,1008-2013,5.4310191,52.9224185,5/31/2013 8:46,4,5/31/2013 08:46:00
243,1008-2013,5.4312451,52.9225064,5/31/2013 9:18,4,5/31/2013 09:18:00
244,1008-2013,5.4307855,52.9223875,5/31/2013 9:48,4,5/31/2013 09:48:00
245,1008-2013,5.4306043,52.9223501,5/31/2013 10:18,4,5/31/2013 10:18:00
246,1008-2013,5.430464,52.9222538,5/31/2013 10:33,4,5/31/2013 10:33:00
247,1008-2013,5.4303091,52.9225521,5/31/2013 11:38,4,5/31/2013 11:38:00
248,1008-2013,5.4301049,52.9227964,5/31/2013 11:53,4,5/31/2013 11:53:00
249,1008-2013,5.4301757,52.9229331,5/31/2013 12:08,4,5/31/2013 12:08:00
250,1008-2013,5.4393767,52.9308416,5/31/2013 12:23,2,5/31/2013 12:23:00
