"","x","y","t","date_time"
"1008",663940.002371623,5866428.11533727,1371749564,2013-06-20 13:32:44
"1009",663923.745531232,5866437.00472175,1371751380,2013-06-20 14:03:00
"1010",663933.002364298,5866476.48907145,1371753203,2013-06-20 14:33:23
"1011",663566.842779332,5866917.20791089,1371762291,2013-06-20 17:04:51
"1012",663569.132945315,5866915.34823114,1371764104,2013-06-20 17:35:04
"1013",663589.601612956,5866950.24622365,1371766052,2013-06-20 18:07:32
"1014",663617.613255591,5866947.03206532,1371767903,2013-06-20 18:38:23
"1015",663590.709186556,5866950.91842621,1371769719,2013-06-20 19:08:39
"1016",663985.723041358,5867354.39259132,1371773323,2013-06-20 20:08:43
"1017",663986.944677883,5867358.63169815,1371775111,2013-06-20 20:38:31
"1018",663980.695682068,5867355.03446722,1371776949,2013-06-20 21:09:09
"1019",663982.499167539,5867357.99065857,1371778744,2013-06-20 21:39:04
"1020",663986.101595555,5867349.19468038,1371780534,2013-06-20 22:08:54
"1021",663986.259389664,5867349.50066703,1371782326,2013-06-20 22:38:46
"1022",663984.153433316,5867349.30659375,1371784136,2013-06-20 23:08:56
"1023",663994.93503857,5866359.73694422,1371787778,2013-06-21 00:09:38
"1024",663928.633555473,5866457.52396784,1371791385,2013-06-21 01:09:45
"1025",663964.239066129,5866355.09740228,1371794984,2013-06-21 02:09:44
"1026",663953.980280501,5866356.38551165,1371796803,2013-06-21 02:40:03
"1027",663962.553089155,5866306.0945046,1371798596,2013-06-21 03:09:56
"1028",663889.209184054,5866374.67178132,1371802260,2013-06-21 04:11:00
"1029",663948.229882838,5866330.5482335,1371804051,2013-06-21 04:40:51
"1030",663948.648230093,5866412.89928154,1371805867,2013-06-21 05:11:07
"1031",663954.458767355,5866382.90098302,1371807667,2013-06-21 05:41:07
"1032",663895.837496871,5866387.74569956,1371809507,2013-06-21 06:11:47
"1033",663891.173193454,5866398.07559911,1371811327,2013-06-21 06:42:07
"1034",663903.711750328,5866343.14269337,1371813121,2013-06-21 07:12:01
"1035",663871.332932894,5866297.89615211,1371814918,2013-06-21 07:41:58
"1036",663841.936252176,5866288.66975281,1371816752,2013-06-21 08:12:32
"1037",663879.586218659,5866375.46947302,1371820359,2013-06-21 09:12:39
"1038",663854.513451473,5866380.01798469,1371822161,2013-06-21 09:42:41
"1039",663889.864721735,5866379.9382162,1371823952,2013-06-21 10:12:32
"1040",663915.886957416,5866344.66970826,1371825746,2013-06-21 10:42:26
"1041",663917.106591621,5866343.63113267,1371827554,2013-06-21 11:12:34
"1042",663909.934891096,5866361.01280493,1371829406,2013-06-21 11:43:26
"1043",663920.862934555,5866335.8646566,1371831218,2013-06-21 12:13:38
"1044",663916.631311671,5866404.76356372,1371836648,2013-06-21 13:44:08
"1045",663927.376012488,5866462.84788811,1371838544,2013-06-21 14:15:44
"1046",663591.106887846,5866255.54160964,1371843982,2013-06-21 15:46:22
"1047",663581.059084777,5866264.69832577,1371845775,2013-06-21 16:16:15
"1048",663580.394672795,5866268.41685009,1371847566,2013-06-21 16:46:06
"1049",663580.783577017,5866269.05354288,1371849375,2013-06-21 17:16:15
"1050",663996.130119111,5867319.39549998,1371852990,2013-06-21 18:16:30
"1051",663992.694813863,5867319.71293387,1371854800,2013-06-21 18:46:40
"1052",663994.600897072,5867315.89192145,1371856607,2013-06-21 19:16:47
"1053",664004.06089258,5867313.89766073,1371858413,2013-06-21 19:46:53
"1054",663993.429442135,5867320.8624594,1371860252,2013-06-21 20:17:32
"1055",663993.182498507,5867322.98068575,1371862046,2013-06-21 20:47:26
"1056",663991.619194901,5867321.46896184,1371863837,2013-06-21 21:17:17
"1057",663992.8079568,5867320.54070753,1371865645,2013-06-21 21:47:25
"1058",663993.562796749,5867320.69998112,1371867468,2013-06-21 22:17:48
"1059",663989.073521345,5867330.64602338,1371869325,2013-06-21 22:48:45
"1060",663979.883809205,5867343.29374398,1371871134,2013-06-21 23:18:54
"1061",663957.688726335,5866305.47270996,1371876683,2013-06-22 00:51:23
"1062",663936.783260587,5866438.09347348,1371880281,2013-06-22 01:51:21
"1063",663996.972037307,5866209.71815837,1371889354,2013-06-22 04:22:34
"1064",663934.523010058,5866277.05070197,1371892951,2013-06-22 05:22:31
"1065",663970.891008243,5866311.43273846,1371894744,2013-06-22 05:52:24
"1066",663926.740578205,5866466.30014458,1371898376,2013-06-22 06:52:56
"1067",663878.271434448,5866356.12939803,1371903803,2013-06-22 08:23:23
"1068",663845.817906063,5866383.22993738,1371905640,2013-06-22 08:54:00
"1069",663855.546308811,5866377.14705758,1371907435,2013-06-22 09:23:55
"1070",663891.609904315,5866315.28602127,1371909236,2013-06-22 09:53:56
"1071",663917.433665783,5866336.18238537,1371911048,2013-06-22 10:24:08
"1072",663679.620934053,5866391.54008123,1371929542,2013-06-22 15:32:22
"1073",663651.95945507,5866320.84673323,1371931334,2013-06-22 16:02:14
"1074",663654.161434843,5866299.17655131,1371933130,2013-06-22 16:32:10
"1075",663668.72808323,5866260.7570071,1371934950,2013-06-22 17:02:30
"1076",663473.956694596,5866817.33768527,1371938580,2013-06-22 18:03:00
"1077",663474.203414289,5866814.02809171,1371940370,2013-06-22 18:32:50
"1078",663475.350793216,5866812.9312963,1371942165,2013-06-22 19:02:45
"1079",663477.160581638,5866808.17156942,1371943958,2013-06-22 19:32:38
"1080",663474.036902171,5866815.16925886,1371945776,2013-06-22 20:02:56
"1081",663474.018238831,5866809.1673609,1371947602,2013-06-22 20:33:22
"1082",663507.548911666,5866867.66646101,1371949554,2013-06-22 21:05:54
"1083",663506.320582346,5866867.37987919,1371951366,2013-06-22 21:36:06
"1084",663505.987189714,5866866.09929455,1371953156,2013-06-22 22:05:56
"1085",663507.032373745,5866864.64275262,1371954946,2013-06-22 22:35:46
"1086",663671.248672979,5866309.84362036,1371958568,2013-06-22 23:36:08
"1087",663657.921090862,5866279.39632724,1371960511,2013-06-23 00:08:31
"1088",663710.161093921,5866347.6167486,1371962307,2013-06-23 00:38:27
"1089",663659.130692646,5866334.99644048,1371964100,2013-06-23 01:08:20
"1090",663662.04288511,5866301.51481664,1371975006,2013-06-23 04:10:06
"1091",663631.222967675,5866267.17862656,1371976813,2013-06-23 04:40:13
"1092",663603.029982154,5866247.840256,1371978607,2013-06-23 05:10:07
"1093",663604.731819509,5866247.46373034,1371980527,2013-06-23 05:42:07
"1094",663646.85663782,5866299.87519361,1371982358,2013-06-23 06:12:38
"1095",663672.831127264,5866283.0307479,1371984157,2013-06-23 06:42:37
"1096",663660.385436149,5866271.41883625,1371985951,2013-06-23 07:12:31
"1097",663640.05048667,5866355.51519172,1371987758,2013-06-23 07:42:38
"1098",663717.437271191,5866369.57511444,1371989612,2013-06-23 08:13:32
"1099",663708.759757389,5866368.49016172,1371991409,2013-06-23 08:43:29
"1100",663658.414816802,5866335.07236557,1371993199,2013-06-23 09:13:19
"1101",663657.663034958,5866334.22294378,1371998635,2013-06-23 10:43:55
"1102",663677.355252216,5866291.50137675,1372000620,2013-06-23 11:17:00
"1103",663674.99683644,5866271.55816395,1372002556,2013-06-23 11:49:16
"1104",663616.084607742,5866158.74265384,1372006218,2013-06-23 12:50:18
"1105",663692.849526872,5866237.44769955,1372013435,2013-06-23 14:50:35
"1106",663662.524587836,5866272.03696364,1372018868,2013-06-23 16:21:08
"1107",663651.158497273,5866507.73861292,1372022533,2013-06-23 17:22:13
"1108",663674.067654111,5866509.41758833,1372024358,2013-06-23 17:52:38
