"","x","y","t","date_time","year"
"100",663951.626025646,5867415.1615947,1369619457,2013-05-26 21:50:57,"2013"
"101",663352.845535799,5866788.84052842,1369623099,2013-05-26 22:51:39,"2013"
"102",663349.770385983,5866797.78839236,1369624891,2013-05-26 23:21:31,"2013"
"103",663106.554894095,5866711.76582477,1369628473,2013-05-27 00:21:13,"2013"
"104",663109.613690293,5866713.43913709,1369630270,2013-05-27 00:51:10,"2013"
"105",663108.93811542,5866710.73299604,1369632096,2013-05-27 01:21:36,"2013"
"106",663110.139572482,5866711.21897741,1369633897,2013-05-27 01:51:37,"2013"
"107",663108.938303895,5866708.33918669,1369635689,2013-05-27 02:21:29,"2013"
"108",663109.931693591,5866707.61565853,1369637485,2013-05-27 02:51:25,"2013"
"109",663108.074915903,5866713.576391,1369639276,2013-05-27 03:21:16,"2013"
"110",663101.838424679,5866722.10575635,1369641091,2013-05-27 03:51:31,"2013"
"111",663105.057996037,5866711.65954687,1369642917,2013-05-27 04:21:57,"2013"
"112",663108.219346513,5866712.28972696,1369644723,2013-05-27 04:52:03,"2013"
"113",663120.071032106,5866703.36013202,1369646098.5,2013-05-27 05:14:58,"2013"
"114",663125.752233552,5866679.51384407,1369647674,2013-05-27 05:41:14,"2013"
"115",663122.899282963,5866694.63759641,1369648727,2013-05-27 05:58:47,"2013"
"116",663113.133535743,5866708.34185003,1369650122,2013-05-27 06:22:02,"2013"
"117",663108.983748374,5866698.43700742,1369651944.5,2013-05-27 06:52:24,"2013"
"118",663115.616103753,5866701.68413244,1369653288,2013-05-27 07:14:48,"2013"
"119",663113.922034987,5866705.61840595,1369654739,2013-05-27 07:38:59,"2013"
"120",663110.041530029,5866712.12865291,1369656631,2013-05-27 08:10:31,"2013"
"121",663110.431863497,5866713.12164414,1369657975,2013-05-27 08:32:55,"2013"
"122",663110.436282748,5866711.00076145,1369659350,2013-05-27 08:55:50,"2013"
"123",663114.715349076,5866702.25491516,1369660743,2013-05-27 09:19:03,"2013"
"124",663114.229833568,5866707.46035857,1369662152.5,2013-05-27 09:42:32,"2013"
"125",663114.456303857,5866708.22513221,1369664051.5,2013-05-27 10:14:11,"2013"
"126",663124.491376568,5866730.93269124,1369665400,2013-05-27 10:36:40,"2013"
"127",663122.196685414,5866698.90045036,1369666765.5,2013-05-27 10:59:25,"2013"
"128",663105.323917347,5866704.98812152,1369668128,2013-05-27 11:22:08,"2013"
