"","X","x","y","t","date_time","year"
"164",164,663123.783292443,5866263.24158613,1368235554,2013-05-10 21:25:54,"2013"
"165",165,663117.893810013,5866262.09041044,1368237121,2013-05-10 21:52:01,"2013"
"166",166,663117.950547988,5866267.91550607,1368238600.5,2013-05-10 22:16:40,"2013"
"167",167,663144.842412391,5866278.50123737,1368240050,2013-05-10 22:40:50,"2013"
"168",168,663138.052509911,5866278.67430842,1368241633,2013-05-10 23:07:13,"2013"
"169",169,663151.049580139,5866281.71768979,1368243221,2013-05-10 23:33:41,"2013"
"170",170,663153.121181274,5866285.58145843,1368244672.5,2013-05-10 23:57:52,"2013"
"171",171,663022.935575324,5866138.96725342,1368246325.5,2013-05-11 00:25:25,"2013"
"172",172,663022.12956941,5866139.619197,1368247521,2013-05-11 00:45:21,"2013"
"173",173,663024.547736105,5866138.75450434,1368249008,2013-05-11 01:10:08,"2013"
"174",174,662930.493257568,5866121.52195141,1368250632,2013-05-11 01:37:12,"2013"
"175",175,662831.630471646,5866171.45483666,1368252047,2013-05-11 02:00:47,"2013"
"176",176,662825.442353772,5866173.80091295,1368253056,2013-05-11 02:17:36,"2013"
"177",177,662973.413194764,5866154.32543135,1368254656,2013-05-11 02:44:16,"2013"
"178",178,663024.320930605,5866140.28890129,1368256568.5,2013-05-11 03:16:08,"2013"
"179",179,663024.951208543,5866138.20706854,1368258255,2013-05-11 03:44:15,"2013"
"180",180,663025.845620927,5866136.88887217,1368259791,2013-05-11 04:09:51,"2013"
"181",181,663025.615536104,5866137.12604675,1368261031,2013-05-11 04:30:31,"2013"
"182",182,663026.766254078,5866136.73158741,1368262510,2013-05-11 04:55:10,"2013"
"183",183,663026.298278486,5866139.32581157,1368263990,2013-05-11 05:19:50,"2013"
"184",184,663025.765377859,5866137.57090238,1368265471,2013-05-11 05:44:31,"2013"
"185",185,663024.496048028,5866137.69502774,1368266982,2013-05-11 06:09:42,"2013"
"186",186,663025.967699522,5866137.11403338,1368268462,2013-05-11 06:34:22,"2013"
"187",187,663024.680627142,5866138.53569883,1368270238,2013-05-11 07:03:58,"2013"
"188",188,663028.370170992,5866138.95045199,1368271718,2013-05-11 07:28:38,"2013"
"189",189,663025.685677649,5866140.48631485,1368273241,2013-05-11 07:54:01,"2013"
"190",190,663026.749679361,5866137.01962256,1368274724.5,2013-05-11 08:18:44,"2013"
"191",191,663027.050907762,5866137.48539139,1368276222,2013-05-11 08:43:42,"2013"
"192",192,662996.788327538,5866154.90750868,1368277886,2013-05-11 09:11:26,"2013"
"193",193,662965.278031068,5866170.06021223,1368279213,2013-05-11 09:33:33,"2013"
"194",194,662963.744797033,5866175.09066568,1368280670,2013-05-11 09:57:50,"2013"
"195",195,662988.687834513,5866185.47810598,1368282109,2013-05-11 10:21:49,"2013"
"196",196,662982.917463531,5866181.35051679,1368283598,2013-05-11 10:46:38,"2013"
"197",197,663010.590473476,5866152.51225104,1368285068.5,2013-05-11 11:11:08,"2013"
"198",198,663022.152377159,5866134.96038684,1368286549,2013-05-11 11:35:49,"2013"
