"","X","x","y","t","date_time","year"
"10265",10265,-321482.68321019,4073370.70190349,1424974383,2015-02-26 13:13:03,"2015"
"10266",10266,-321489.377424835,4073370.27560902,1424976208,2015-02-26 13:43:28,"2015"
"10267",10267,-321591.972653401,4072996.78953895,1424979804,2015-02-26 14:43:24,"2015"
"10268",10268,-321593.965015218,4072992.19386554,1424981596,2015-02-26 15:13:16,"2015"
"10269",10269,-321597.347426102,4073000.85483021,1424983403,2015-02-26 15:43:23,"2015"
"10270",10270,-322343.389070654,4072993.19052915,1424987035,2015-02-26 16:43:55,"2015"
"10271",10271,-322338.134465808,4072994.59697792,1424988832,2015-02-26 17:13:52,"2015"
"10272",10272,-322348.259919949,4072995.21926505,1424990658,2015-02-26 17:44:18,"2015"
"10273",10273,-322329.839260236,4072994.76813147,1424992473,2015-02-26 18:14:33,"2015"
"10274",10274,-322351.155665476,4072999.57556862,1424994295,2015-02-26 18:44:55,"2015"
"10275",10275,-322346.390765048,4072999.37724155,1424996120,2015-02-26 19:15:20,"2015"
"10276",10276,-322345.053130117,4072995.33884015,1424997936,2015-02-26 19:45:36,"2015"
"10277",10277,-322343.121626659,4072998.72678263,1424999725,2015-02-26 20:15:25,"2015"
"10278",10278,-322345.028117699,4072996.83084944,1425001519,2015-02-26 20:45:19,"2015"
"10279",10279,-322353.069989102,4072989.92744744,1425003310,2015-02-26 21:15:10,"2015"
"10280",10280,-322351.094266493,4072993.68194322,1425005102,2015-02-26 21:45:02,"2015"
"10281",10281,-322349.92643365,4072994.97451397,1425006897,2015-02-26 22:14:57,"2015"
"10282",10282,-322357.276827498,4072999.73536717,1425008732,2015-02-26 22:45:32,"2015"
"10283",10283,-322345.926061256,4073001.47879897,1425010548,2015-02-26 23:15:48,"2015"
"10284",10284,316355.952362134,4889301.95773935,1426253170,2015-03-13 09:26:10,"2015"
"10285",10285,316337.351291916,4889294.37347747,1426254979,2015-03-13 09:56:19,"2015"
"10286",10286,316352.573441969,4889300.50694399,1426256769,2015-03-13 10:26:09,"2015"
"10287",10287,316324.790366112,4889287.49878296,1426258586,2015-03-13 10:56:26,"2015"
"10288",10288,294818.296324773,4900325.27390126,1426267652,2015-03-13 13:27:32,"2015"
"10289",10289,285108.304580621,4905936.5588992,1426271342,2015-03-13 14:29:02,"2015"
"10290",10290,285105.283094218,4905942.10671733,1426273171,2015-03-13 14:59:31,"2015"
"10291",10291,285100.452771258,4905938.55136487,1426274972,2015-03-13 15:29:32,"2015"
"10292",10292,285083.674959237,4905933.90941549,1426276785,2015-03-13 15:59:45,"2015"
"10293",10293,285093.098408199,4905945.23110467,1426278594,2015-03-13 16:29:54,"2015"
"10294",10294,285092.336072814,4905944.15529433,1426280483,2015-03-13 17:01:23,"2015"
"10295",10295,285094.131116828,4905936.77964434,1426282352,2015-03-13 17:32:32,"2015"
"10296",10296,285080.805246978,4905928.02129381,1426284172,2015-03-13 18:02:52,"2015"
"10297",10297,285058.289573058,4905932.5747189,1426285979,2015-03-13 18:32:59,"2015"
"10298",10298,285014.540003781,4905949.81262951,1426287777,2015-03-13 19:02:57,"2015"
"10299",10299,285063.045712585,4905919.03050108,1426289610,2015-03-13 19:33:30,"2015"
"10300",10300,285086.704556824,4905933.23171308,1426291418,2015-03-13 20:03:38,"2015"
"10301",10301,285078.861018562,4905932.7998561,1426293232,2015-03-13 20:33:52,"2015"
"10302",10302,285092.48235978,4905934.49866247,1426295039,2015-03-13 21:03:59,"2015"
"10303",10303,285075.976378233,4905928.64688708,1426296843,2015-03-13 21:34:03,"2015"
"10304",10304,285027.72639909,4905934.13449313,1426298707,2015-03-13 22:05:07,"2015"
"10305",10305,285041.319489743,4905930.10751575,1426300508,2015-03-13 22:35:08,"2015"
"10306",10306,285042.430466146,4905935.23053288,1426302310,2015-03-13 23:05:10,"2015"
"10307",10307,285062.181764921,4905939.67465095,1426304136,2015-03-13 23:35:36,"2015"
"10308",10308,285075.938138277,4905939.8900784,1426305926,2015-03-14 00:05:26,"2015"
"10309",10309,285045.058301896,4905931.56370785,1426307737,2015-03-14 00:35:37,"2015"
"10310",10310,285072.620527562,4905930.58070552,1426309526,2015-03-14 01:05:26,"2015"
"10311",10311,285082.083154331,4905925.5774931,1426311329,2015-03-14 01:35:29,"2015"
"10312",10312,285100.58325738,4905946.17513778,1426313166,2015-03-14 02:06:06,"2015"
"10313",10313,285185.544328022,4905948.51216957,1426314968,2015-03-14 02:36:08,"2015"
"10314",10314,285121.900179542,4905948.91120171,1426316759,2015-03-14 03:05:59,"2015"
"10315",10315,285094.358869997,4905940.55283601,1426318572,2015-03-14 03:36:12,"2015"
"10316",10316,285085.474298503,4905942.47915496,1426320369,2015-03-14 04:06:09,"2015"
"10317",10317,285086.439943428,4905936.36501489,1426322184,2015-03-14 04:36:24,"2015"
"10318",10318,285112.11991485,4905940.10310356,1426323999,2015-03-14 05:06:39,"2015"
"10319",10319,285044.137613386,4905937.34279128,1426325812,2015-03-14 05:36:52,"2015"
"10320",10320,285019.210299071,4905933.65808018,1426327641,2015-03-14 06:07:21,"2015"
"10321",10321,285056.119386478,4905941.41937192,1426329443,2015-03-14 06:37:23,"2015"
"10322",10322,285170.192292766,4905944.22351457,1426333055,2015-03-14 07:37:35,"2015"
"10323",10323,188386.150114375,5073368.31254437,1426518100,2015-03-16 11:01:40,"2015"
"10324",10324,188412.555194809,5073344.0784588,1426519889,2015-03-16 11:31:29,"2015"
"10325",10325,188379.657140347,5073310.5342014,1426521679,2015-03-16 12:01:19,"2015"
"10326",10326,185200.634637149,5074260.40144963,1426530719,2015-03-16 14:31:59,"2015"
"10327",10327,185185.98704468,5074254.93999568,1426532514,2015-03-16 15:01:54,"2015"
"10328",10328,185168.444800829,5074267.13427823,1426534322,2015-03-16 15:32:02,"2015"
"10329",10329,185168.144280436,5074264.74369795,1426536129,2015-03-16 16:02:09,"2015"
"10330",10330,185188.597367804,5074254.5960647,1426537934,2015-03-16 16:32:14,"2015"
"10331",10331,185185.994961489,5074254.32700315,1426539759,2015-03-16 17:02:39,"2015"
"10332",10332,185186.618394768,5074254.47361167,1426541550,2015-03-16 17:32:30,"2015"
"10333",10333,185179.752710567,5074253.47391389,1426543345,2015-03-16 18:02:25,"2015"
"10334",10334,185178.246125007,5074253.59483175,1426545150,2015-03-16 18:32:30,"2015"
"10335",10335,185178.775853957,5074257.27694279,1426546959,2015-03-16 19:02:39,"2015"
"10336",10336,185176.851877364,5074254.70133991,1426548776,2015-03-16 19:32:56,"2015"
"10337",10337,185166.085710218,5074259.51293238,1426550599,2015-03-16 20:03:19,"2015"
"10338",10338,185166.625672857,5074266.78096882,1426552418,2015-03-16 20:33:38,"2015"
"10339",10339,186740.579292294,5072587.21805304,1426606410,2015-03-17 11:33:30,"2015"
"10340",10340,186697.303432788,5072502.33626748,1426609993,2015-03-17 12:33:13,"2015"
"10341",10341,188799.231180335,5072256.51375565,1426615479,2015-03-17 14:04:39,"2015"
"10342",10342,188798.928349741,5072257.00782535,1426617267,2015-03-17 14:34:27,"2015"
"10343",10343,188738.208476126,5072300.09856103,1426619061,2015-03-17 15:04:21,"2015"
"10344",10344,184887.193889844,5073699.7339086,1426622646,2015-03-17 16:04:06,"2015"
"10345",10345,184886.882106491,5073697.27707472,1426624439,2015-03-17 16:33:59,"2015"
"10346",10346,184886.268183029,5073698.08788091,1426626245,2015-03-17 17:04:05,"2015"
"10347",10347,187367.76534916,5071267.95070704,1426633512,2015-03-17 19:05:12,"2015"
"10348",10348,187374.615874931,5071260.37792813,1426635332,2015-03-17 19:35:32,"2015"
"10349",10349,187378.91639455,5071250.65019038,1426637125,2015-03-17 20:05:25,"2015"
"10350",10350,187381.06945942,5071252.35734182,1426638932,2015-03-17 20:35:32,"2015"
"10351",10351,187377.557805119,5071249.84978018,1426640738,2015-03-17 21:05:38,"2015"
"10352",10352,187377.887764636,5071249.12038367,1426642529,2015-03-17 21:35:29,"2015"
"10353",10353,187376.828013118,5071249.76396622,1426644337,2015-03-17 22:05:37,"2015"
"10354",10354,187374.266022287,5071250.78380703,1426646129,2015-03-17 22:35:29,"2015"
"10355",10355,187368.013609973,5071262.95973226,1426647939,2015-03-17 23:05:39,"2015"
"10356",10356,187373.798917518,5071269.26223418,1426649744,2015-03-17 23:35:44,"2015"
"10357",10357,187377.474731559,5071253.16181288,1426651540,2015-03-18 00:05:40,"2015"
